[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.344  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10103, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10103, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10103, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10103, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10097, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10097, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10097, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10097, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10097, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.345  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10097, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.346 22731 22766 I appium  : FindElement command
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.346  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10055, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.346  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10055, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.346  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10055, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.346  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10055, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.346  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10055, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.347  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10055, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.347  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10049, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.347  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10049, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.349  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.349  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.349  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.349  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.349  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.350  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.350  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.350  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10045, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.350  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10044, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10044, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10041, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10041, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3698  4053 D Tile.WifiTile: handleUpdateState isTransient=false transientEnabling =false cb.isTransient=false state.state = 2 mStateBeforeClick.value =false enabled =true
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.351  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10036, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.352  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353 22731 22766 I appium  : method: 'xpath', selector: '/hierarchy/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/android.widget.FrameLayout/android.widget.LinearLayout/androidx.drawerlayout.widget.DrawerLayout/android.widget.RelativeLayout/android.widget.LinearLayout/android.view.ViewGroup/android.widget.LinearLayout/android.widget.RelativeLayout/android.view.ViewGroup/androidx.recyclerview.widget.RecyclerView/android.view.ViewGroup[2]', contextId: ''
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.353  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307, networkInfo: [type: WIFI[], state: CONNECTED/CONNECTED, reason: (unspecified), extra: (none), failover: false, available: true, roaming: false]
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354  3307  3544 D ConnectivityService: filterNetworkStateForUid() uid: 10026, pid: 3307
[2020-09-17T10:26:43+0530] [ALL] 09-17 10:26:43.354 22731 22766 I appium  : Waiting up to 10000ms for device to be idle
